,Sr.No.,Subject,Q.No,Q.Type,Date,Member,Downloads
0,1,Recovery of Tourist Destinations from Natural Disasters,216,UNSTARRED,18-07-2022,Shrimati Sarmistha Sethi,Download 47.13 KB
1,2,Tourism Development in Shahjahanpur,189,UNSTARRED,18-07-2022,Shri Arun Kumar Sagar,Download 470.01 KB
2,3,Promotion of Tourism in Rajasthan,186,UNSTARRED,18-07-2022,Dr. Manoj Rajoria,Download 56.71 KB
3,4,Revenue Generation from Tourism,184,UNSTARRED,18-07-2022,"Dr. Dnv Senthilkumar. S., Shri Kuldeep Rai Sharma, Dr. Amol Ramsing Kolhe, Dr. Subhash Ramrao Bhamre, Shrimati Supriya Sule",Download 971.02 KB
4,5,Promotion of Agri-Tourism,182,UNSTARRED,18-07-2022,"Prof. Rita Bahuguna Joshi, Dr. Sujay Radhakrishna Vikhe Patil, Dr. Heena Gavit, Dr. Shrikant Eknath Shinde",Download 63.15 KB
5,6,Conversion of Craft Based Tourist Places into Craft Village,145,UNSTARRED,18-07-2022,Shri Ganesh Singh,Download 46.31 KB
6,7,Inclusion of Pilgrimage Sites of Mithila Region under PRASAD Scheme,149,UNSTARRED,18-07-2022,Shri Gopal Jee Thakur,Download 45.58 KB
7,8,Promotion of Foreign Investment in Tourism Sector,140,UNSTARRED,18-07-2022,Shri Guman Singh Damor,Download 59.36 KB
8,9,Competitive Tourism Ranking System,98,UNSTARRED,18-07-2022,"Shri Ranjeetsingh Hindurao Naik Nimbalkar, Shri Sudhakar Tukaram Shrangare, Shri Arun Sao",Download 48.51 KB
9,10,Promotion of SDS,85,UNSTARRED,18-07-2022,"Shrimati Manjulata Mandal, Shri Gajanan Kirtikar, Shri C.N. Annadurai, Dr. Pon Gautham Sigamani, Shri Dhanush M. Kumar, Shri Selvam G.",Download 75.35 KB
10,11,Connectivity between Tourist Places,82,UNSTARRED,18-07-2022,Shri B.B. Patil,Download 49.82 KB
11,12,Inclusion of Barpeta Satra in Heritage Circuit,79,UNSTARRED,18-07-2022,Shri Abdul Khaleque,Download 47.9 KB
12,13,Creation of Employment at Tourist Destinations,54,UNSTARRED,18-07-2022,"Shri Sha.Bra.Dr.Jai Siddeshwar Shivacharya Mahaswamiji, Shri S. Muniswamy, Dr. Umesh G. Jadhav, Shri Sanganna Amarappa, Shri Annasaheb Shankar Jolle, Shri B.Y. Raghavendra, Shri Prathap Simha",Download 150.91 KB
13,14,Bharat Gaurav Project,41,UNSTARRED,18-07-2022,Shri Sisir Kumar Adhikari,Download 69.18 KB
14,15,Investment in Tourism Sector in J&K,35,UNSTARRED,18-07-2022,Shrimati Mala Roy,Download 106.98 KB
15,16,Status of Safe Tourist Destination,25,UNSTARRED,18-07-2022,"Dr. Umesh G. Jadhav, Shri Sha.Bra.Dr.Jai Siddeshwar Shivacharya Mahaswamiji, Shri S. Muniswamy, Shri B.Y. Raghavendra, Shri Prathap Simha, Shri Annasaheb Shankar Jolle",Download 188.18 KB
16,17,Performance of Monument Mitras,17,STARRED,18-07-2022,Shri Vishnu Datt Sharma,Download 51.66 KB
17,18,Projects under PRASAD Scheme in Maharashtra,13,STARRED,18-07-2022,"Shri Vinayak Raut, Shri Krupal Balaji Tumane",Download 53.14 KB
18,19,Tourism Development Schemes for Rajasthan,5259,UNSTARRED,04-04-2022,Shri Narendra Kumar,Download 354.79 KB
19,20,Identification of Religious Sites in Uttar Pradesh,5242,UNSTARRED,04-04-2022,Shri Upendra Singh Rawat,Download 118.16 KB
